,Index
724,UCC_Rose_RS.03238993
725,UCC_Rose_RS.03238955
726,UCC_Rose_RS.03238988
727,UCC_Rose_RS.03238991
728,UCC_Rose_RS.03239018
729,UCC_Rose_RS.03239000
730,UCC_Rose_RS.03238957
731,UCC_Rose_RS.03238989
732,UCC_Rose_RS.03238974
733,UCC_Rose_RS.03239035
734,UCC_Rose_RS.03238963
735,UCC_Rose_RS.03239042
736,UCC_Rose_RS.03238997
737,UCC_Rose_RS.03239007
738,UCC_Rose_RS.03239022
739,UCC_Rose_RS.03239029
740,UCC_Rose_RS.03238954
741,UCC_Rose_RS.03239009
742,UCC_Rose_RS.03239028
743,UCC_Rose_RS.03239002
744,UCC_Rose_RS.03238956
745,UCC_Rose_RS.03238958
746,UCC_Rose_RS.03238966
747,UCC_Rose_RS.03239019
748,UCC_Rose_RS.03239020
749,UCC_Rose_RS.03238961
750,UCC_Rose_RS.03239032
751,UCC_Rose_RS.03238992
752,UCC_Rose_RS.03238971
753,UCC_Rose_RS.03238953
754,UCC_Rose_RS.03238964
755,UCC_Rose_RS.03238967
756,UCC_Rose_RS.03238977
757,UCC_Rose_RS.03239024
758,UCC_Rose_RS.03238960
759,UCC_Rose_RS.03239004
760,UCC_Rose_RS.03239036
761,UCC_Rose_RS.03239040
762,UCC_Rose_RS.03239041
763,UCC_Rose_RS.03239039
764,UCC_Rose_RS.03239006
765,UCC_Rose_RS.03239033
766,UCC_Rose_RS.03238995
767,UCC_Rose_RS.03238975
768,NSCLC_Ravi_SU2CLC-COL-1041-T1
769,NSCLC_Ravi_SU2CLC-DFC-DF0109-T1
770,NSCLC_Ravi_SU2CLC-MGH-1135-T2
771,NSCLC_Ravi_SU2CLC-MGH-1568-T1
772,NSCLC_Ravi_SU2CLC-MDA-1442-T1
773,NSCLC_Ravi_SU2CLC-DFC-DF0499-T1
774,NSCLC_Ravi_SU2CLC-MGH-1495-T1
775,NSCLC_Ravi_SU2CLC-MDA-1561-T1
776,NSCLC_Ravi_SU2CLC-COL-1023-T1
777,NSCLC_Ravi_SU2CLC-COL-1017-T1
778,NSCLC_Ravi_SU2CLC-DFC-DF0668-T1
779,NSCLC_Ravi_SU2CLC-DFC-DF0108-T1
780,NSCLC_Ravi_SU2CLC-MGH-1572-T1
781,NSCLC_Ravi_SU2CLC-COL-1043-T2
782,NSCLC_Ravi_SU2CLC-DFC-1002-T1
783,NSCLC_Ravi_SU2CLC-DFC-DF0510-T1
784,NSCLC_Ravi_SU2CLC-MSK-A2060-T1
785,NSCLC_Ravi_SU2CLC-COL-1032-T1
786,NSCLC_Ravi_SU2CLC-MSK-A2013-T1
787,NSCLC_Ravi_SU2CLC-MGH-1488-T1
788,NSCLC_Ravi_SU2CLC-CLE-NIVO52-T1
789,NSCLC_Ravi_SU2CLC-MGH-1169-T1
790,NSCLC_Ravi_SU2CLC-MGH-1413-T1
791,NSCLC_Ravi_SU2CLC-MDA-1441-T1
792,NSCLC_Ravi_SU2CLC-DFC-DF0512-T1
793,NSCLC_Ravi_SU2CLC-MGH-1415-T1
794,NSCLC_Ravi_SU2CLC-MGH-1490-T1
795,NSCLC_Ravi_SU2CLC-DFC-DF0561-T1
796,NSCLC_Ravi_SU2CLC-MGH-1054-T2
797,NSCLC_Ravi_SU2CLC-MGH-1489-T1
798,NSCLC_Ravi_SU2CLC-MGH-1417-T1
799,NSCLC_Ravi_SU2CLC-DFC-1538-T1
800,NSCLC_Ravi_SU2CLC-DFC-1017-T2
801,NSCLC_Ravi_SU2CLC-MSK-A2075-T1
802,NSCLC_Ravi_SU2CLC-MGH-1574-T1
803,NSCLC_Ravi_SU2CLC-MSK-A2014-T1
804,NSCLC_Ravi_SU2CLC-DFC-1004-T1
805,NSCLC_Ravi_SU2CLC-MGH-1487-T1
806,NSCLC_Ravi_SU2CLC-DFC-1020-T1
807,NSCLC_Ravi_SU2CLC-MGH-1163-T1
808,NSCLC_Ravi_SU2CLC-UCD-1557-T1
809,NSCLC_Ravi_SU2CLC-COL-1029-T1
810,NSCLC_Ravi_SU2CLC-DFC-DF0107-T1
811,NSCLC_Ravi_SU2CLC-DFC-1537-T1
812,NSCLC_Ravi_SU2CLC-DFC-DF0033-T1
813,NSCLC_Ravi_SU2CLC-COL-1037-T1
814,NSCLC_Ravi_SU2CLC-CLE-NIVO20-T1
815,NSCLC_Ravi_SU2CLC-COL-1038-T1
816,NSCLC_Ravi_SU2CLC-DFC-DF0790-T1
817,NSCLC_Ravi_SU2CLC-COL-1031-T1
818,NSCLC_Ravi_SU2CLC-MGH-1575-T1
819,NSCLC_Ravi_SU2CLC-DFC-DF0840-T1
820,NSCLC_Ravi_SU2CLC-COL-1033-T1
821,NSCLC_Ravi_SU2CLC-MDA-1631-T1
822,NSCLC_Ravi_SU2CLC-DFC-1001-T1
823,NSCLC_Ravi_SU2CLC-UCD-1560-T1
824,NSCLC_Ravi_SU2CLC-UCD-1142-T1
825,NSCLC_Ravi_SU2CLC-DFC-1536-T1
826,NSCLC_Ravi_SU2CLC-UCD-1124-T1
827,NSCLC_Ravi_SU2CLC-CLE-NIVO5-T1
828,NSCLC_Ravi_SU2CLC-COL-1044-T1
829,NSCLC_Ravi_SU2CLC-MGH-1161-T2
830,NSCLC_Ravi_SU2CLC-COL-1034-T1
831,NSCLC_Ravi_SU2CLC-MGH-1493-T1
832,NSCLC_Ravi_SU2CLC-CLE-NIVO10-T1
833,NSCLC_Ravi_SU2CLC-MGH-1411-T1
834,NSCLC_Ravi_SU2CLC-DFC-1013-T1
835,NSCLC_Ravi_SU2CLC-MGH-1416-T1
836,NSCLC_Ravi_SU2CLC-MSK-1365-T1
837,NSCLC_Ravi_SU2CLC-MDA-1443-T1
838,NSCLC_Ravi_SU2CLC-MDA-1562-T1
839,NSCLC_Ravi_SU2CLC-MGH-1149-T1
840,NSCLC_Ravi_SU2CLC-DFC-DF0112-T1
841,NSCLC_Ravi_SU2CLC-DFC-1015-T2
842,NSCLC_Ravi_SU2CLC-UCD-1143-T1
843,NSCLC_Ravi_SU2CLC-COL-1036-T1
844,NSCLC_Ravi_SU2CLC-COL-1022-T1
845,NSCLC_Ravi_SU2CLC-MGH-1412-T1
846,NSCLC_Ravi_SU2CLC-CLE-NIVO9-T1
847,NSCLC_Ravi_SU2CLC-COL-1026-T1
848,NSCLC_Ravi_SU2CLC-MGH-1387-T1
849,NSCLC_Ravi_SU2CLC-MDA-1627-T1
850,NSCLC_Ravi_SU2CLC-COL-1007-T1
851,NSCLC_Ravi_SU2CLC-COL-1025-T1
852,NSCLC_Ravi_SU2CLC-MGH-1409-T1
853,NSCLC_Ravi_SU2CLC-MGH-1055-T1
854,NSCLC_Ravi_SU2CLC-MDA-1564-T1
855,NSCLC_Ravi_SU2CLC-DFC-1535-T1
856,NSCLC_Ravi_SU2CLC-COL-1039-T2
857,NSCLC_Ravi_SU2CLC-MGH-1150-T1
858,NSCLC_Ravi_SU2CLC-MGH-1148-T1
859,NSCLC_Ravi_SU2CLC-DFC-DF0047-T1
860,NSCLC_Ravi_SU2CLC-MDA-1563-T1
861,NSCLC_Ravi_SU2CLC-COL-1027-T1
862,NSCLC_Ravi_SU2CLC-UCD-1137-T1
863,NSCLC_Ravi_SU2CLC-MDA-1444-T1
864,NSCLC_Ravi_SU2CLC-MGH-1044-T1
865,NSCLC_Ravi_SU2CLC-COL-1018-T1
866,NSCLC_Ravi_SU2CLC-MGH-1565-T1
867,NSCLC_Ravi_SU2CLC-MGH-1389-T1
868,NSCLC_Ravi_SU2CLC-COL-1016-T1
869,NSCLC_Ravi_SU2CLC-DFC-1016-T1
870,UCC_Snyder_6229
871,UCC_Snyder_471
872,UCC_Snyder_2849
873,UCC_Snyder_5338
874,UCC_Snyder_1233
875,UCC_Snyder_522
876,UCC_Snyder_2278
877,UCC_Snyder_5122
878,UCC_Snyder_5037
879,UCC_Snyder_2131
880,UCC_Snyder_2389
881,UCC_Snyder_2937
882,UCC_Snyder_6428
883,UCC_Snyder_7577
884,UCC_Snyder_1994
885,UCC_Snyder_6800
886,UCC_Snyder_3529
887,Zhao_NatMed_2019-Pt069-ar-235
888,Zhao_NatMed_2019-Pt103-ar-239
889,Zhao_NatMed_2019-Pt013-ar-222
890,Zhao_NatMed_2019-Pt020-ar-218
891,Zhao_NatMed_2019-Pt021-ar-223
892,Zhao_NatMed_2019-Pt003-ar-231
893,Zhao_NatMed_2019-Pt020-ar-221
894,Zhao_NatMed_2019-Pt101-ar-243
895,Zhao_NatMed_2019-Pt102-ar-250
896,Zhao_NatMed_2019-Pt024-ar-229
897,Zhao_NatMed_2019-Pt046-ar-237
898,Zhao_NatMed_2019-Pt053-ar-226
899,Zhao_NatMed_2019-Pt100-ar-245
900,Zhao_NatMed_2019-Pt013-ar-225
901,Zhao_NatMed_2019-Pt056-ar-230
902,Zhao_NatMed_2019-Pt055-ar-248
903,Zhao_NatMed_2019-Pt013-ar-224
904,Zhao_NatMed_2019-Pt069-ar-232
905,Zhao_NatMed_2019-Pt046-ar-234
906,Zhao_NatMed_2019-Pt025-ar-249
